date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:20	4766/4766	---M--	200	added ('OK')	image/jpeg	etag:%22d1ba81020a71d330b61ea00342826ffc-ssl%22	https://watson-vcard.netlify.app/img/blog/authors/author-2.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/authors/author-2.jpg	(from https://watson-vcard.netlify.app/blog-dark.html)
01:47:20	4458/4458	---M--	200	added ('OK')	image/jpeg	etag:%229a6aecb94d82c807b48c630eec6c75a8-ssl%22	https://watson-vcard.netlify.app/img/blog/authors/author-3.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/authors/author-3.jpg	(from https://watson-vcard.netlify.app/blog-dark.html)
01:47:21	115052/115052	---MCZ	200	added ('OK')	application/octet-stream	etag:%2271bad04833156b9aa6ee618e974bcd22-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-brands-400.eot	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:21	115052/115052	---M-Z	200	added ('OK')	application/octet-stream	etag:%2271bad04833156b9aa6ee618e974bcd22-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-brands-400d41d.eot	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:21	63376/63376	---M--	200	added ('OK')	font/woff2	etag:%22e2cf4ca463cee805119a4fef2d0a27b7-ssl%22	https://watson-vcard.netlify.app/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-brands-400.woff2	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:22	73920/73920	---MCZ	200	added ('OK')	application/font-woff	etag:%22cac549ffe392499272946515e6ba3873-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-brands-400.woff	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:22	114816/114816	---M--	200	added ('OK')	font/ttf	etag:%22aa2adc73b14e94f0715bf0ee10364cbf-ssl%22	https://watson-vcard.netlify.app/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-brands-400.ttf	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:23	622420/622420	---MCZ	200	added ('OK')	image/svg+xml	etag:%2230849463ef8f7a5cceeb81521a88bac1-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-brands-400.svg	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:23	40744/40744	---MCZ	200	added ('OK')	application/octet-stream	etag:%223bfcd46aae417e3471a2ff436a050d1a-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-regular-400.eot	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:24	40744/40744	---MCZ	200	added ('OK')	application/octet-stream	etag:%223bfcd46aae417e3471a2ff436a050d1a-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-regular-400d41d.eot	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:24	14952/14952	---M--	200	added ('OK')	font/woff2	etag:%222397b8c99b70fa20a79ea6b672c8ff9a-ssl%22	https://watson-vcard.netlify.app/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-regular-400.woff2	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:25	18212/18212	---MCZ	200	added ('OK')	application/font-woff	etag:%227b77e87a11733acac91fc1936e7291a0-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-regular-400.woff	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:26	40516/40516	---M--	200	added ('OK')	font/ttf	etag:%22ab7b367d8b4f52bb2ef25ae8e76677ad-ssl%22	https://watson-vcard.netlify.app/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-regular-400.ttf	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
01:47:26	141551/141551	---MCZ	200	added ('OK')	image/svg+xml	etag:%22d982dc5bbe117ded5304b8165fdbf4f8-ssl-df%22	https://watson-vcard.netlify.app/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/fonts/fa-regular-400.svg	(from https://watson-vcard.netlify.app/css/plugins/font-awesome.css)
